1721292802.8552122

Geometry optimization cycle 1
Cartesian coordinates (Angstrom)
 Atom        New coordinates             dX        dY        dZ
   C  -7.338226   5.042760   0.000000    0.000000  0.000000  0.000000
   C  -7.365228   0.691139   0.000000    0.000000  0.000000  0.000000
   C  -6.173642   2.889413   0.000000    0.000000  0.000000  0.000000
   C  -4.910090   5.019617   0.000000    0.000000  0.000000  0.000000
   C  -7.358051  -3.642635   0.000000    0.000000  0.000000  0.000000
   C  -6.173475  -1.431785   0.000000    0.000000  0.000000  0.000000
   C  -4.940069   0.716689   0.000000    0.000000  0.000000  0.000000
   C  -3.694845   2.860312   0.000000    0.000000  0.000000  0.000000
   C  -2.457224   5.005715   0.000000    0.000000  0.000000  0.000000
   C  -6.138515  -5.727246   0.000000    0.000000  0.000000  0.000000
   C  -4.928214  -3.580071   0.000000    0.000000  0.000000  0.000000
   N  -3.698169  -1.425571   0.000000    0.000000  0.000000  0.000000
   C  -2.471779   0.716540   0.000000    0.000000  0.000000  0.000000
   C  -1.230705   2.851907   0.000000    0.000000 -0.000000  0.000000
   C   0.000000   5.003169   0.000000    0.000000  0.000000  0.000000
   C  -3.678966  -5.694052   0.000000    0.000000  0.000000  0.000000
   C  -2.466015  -3.560923   0.000000    0.000000  0.000000  0.000000
   C  -1.232423  -1.423207   0.000000    0.000000  0.000000  0.000000
   C   0.000000   0.715809   0.000000    0.000000  0.000000  0.000000
   C   1.230705   2.851907   0.000000    0.000000 -0.000000  0.000000
   C   2.457224   5.005715   0.000000    0.000000  0.000000  0.000000
   C  -1.226334  -5.685080   0.000000    0.000000  0.000000  0.000000
   C   0.000000  -3.557079   0.000000    0.000000  0.000000  0.000000
   C   1.232423  -1.423207   0.000000    0.000000  0.000000  0.000000
   C   2.471779   0.716540   0.000000    0.000000  0.000000  0.000000
   C   3.694845   2.860312   0.000000    0.000000  0.000000  0.000000
   C   4.910090   5.019617   0.000000    0.000000  0.000000  0.000000
   C   1.226334  -5.685080   0.000000    0.000000  0.000000  0.000000
   N   2.466015  -3.560923   0.000000    0.000000  0.000000  0.000000
   C   3.698169  -1.425571   0.000000    0.000000  0.000000  0.000000
   C   4.940069   0.716689   0.000000    0.000000  0.000000  0.000000
   C   6.173642   2.889413   0.000000    0.000000  0.000000  0.000000
   C   7.338226   5.042760   0.000000    0.000000  0.000000  0.000000
   N   3.678966  -5.694052   0.000000    0.000000  0.000000  0.000000
   N   4.928214  -3.580071   0.000000    0.000000  0.000000  0.000000
   C   6.173475  -1.431785   0.000000   -0.000000  0.000000  0.000000
   C   7.365228   0.691139   0.000000    0.000000  0.000000  0.000000
   C   6.138515  -5.727246   0.000000    0.000000  0.000000  0.000000
   C   7.358051  -3.642635   0.000000   -0.000000  0.000000  0.000000
   C  -7.358051   3.642635   0.000000    0.000000  0.000000  0.000000
   N  -6.138515   5.727246   0.000000    0.000000  0.000000  0.000000
   C  -7.365228  -0.691139   0.000000    0.000000  0.000000  0.000000
   C  -6.173475   1.431785   0.000000    0.000000  0.000000  0.000000
   C  -4.928214   3.580071   0.000000    0.000000 -0.000000  0.000000
   N  -3.678966   5.694052   0.000000    0.000000  0.000000  0.000000
   C  -7.338226  -5.042760   0.000000    0.000000  0.000000  0.000000
   C  -6.173642  -2.889413   0.000000    0.000000  0.000000  0.000000
   C  -4.940069  -0.716689   0.000000    0.000000  0.000000  0.000000
   C  -3.698169   1.425571   0.000000    0.000000  0.000000  0.000000
   C  -2.466015   3.560923   0.000000    0.000000 -0.000000  0.000000
   C  -1.226334   5.685080   0.000000    0.000000  0.000000  0.000000
   C  -4.910090  -5.019617   0.000000    0.000000  0.000000  0.000000
   N  -3.694845  -2.860312   0.000000    0.000000  0.000000  0.000000
   C  -2.471779  -0.716540   0.000000    0.000000  0.000000  0.000000
